Organism,Antibiotic,Antibiotic (name),Breakpoint confidence,Year,N,% censored,MIC50,MIC90,GeoMean,P25,P75,IQR_log2,Skewness,Kurtosis,Modal_MIC,PctR
Streptococcus pneumoniae,POD,Cefpodoxime,high,2015,48,6.25,0.5,8.0,0.4996,0.06,2.0,5.059,-0.022,-1.248,2.0,50.0
Streptococcus pneumoniae,POD,Cefpodoxime,high,2016,641,8.42,0.25,4.0,0.2785,0.03,2.0,6.059,0.292,-1.213,0.03,32.92
Streptococcus pneumoniae,POD,Cefpodoxime,high,2017,333,9.61,1.0,16.0,0.804,0.12,4.0,5.059,-0.264,-1.305,4.0,54.65
Streptococcus pneumoniae,POD,Cefpodoxime,high,2018,46,13.04,8.0,16.0,4.9307,4.0,16.0,2.0,-1.561,1.665,16.0,82.61
Streptococcus pneumoniae,CXM,Cefuroxime,moderate,2015,48,6.25,1.0,16.0,0.7971,0.2175,8.0,5.201,-0.324,-1.181,0.03,52.08
Streptococcus pneumoniae,CXM,Cefuroxime,moderate,2016,641,8.74,0.25,8.0,0.4497,0.06,4.0,6.059,0.089,-1.261,0.03,36.97
Streptococcus pneumoniae,CXM,Cefuroxime,moderate,2017,333,11.41,2.0,16.0,0.9596,0.25,8.0,5.0,-0.42,-1.144,4.0,55.86
Streptococcus pneumoniae,CXM,Cefuroxime,moderate,2018,46,4.35,4.0,16.0,3.1823,2.0,8.0,2.0,-1.715,2.889,4.0,86.96
Streptococcus pneumoniae,ERY,Erythromycin,high,2015,48,47.92,2.0,16.0,0.6451,0.03,16.0,9.059,-0.054,-1.884,16.0,52.08
Streptococcus pneumoniae,ERY,Erythromycin,high,2016,641,42.75,0.06,16.0,0.4774,0.03,16.0,9.059,0.159,-1.849,16.0,47.27
Streptococcus pneumoniae,ERY,Erythromycin,high,2017,333,53.15,16.0,16.0,1.5337,0.03,16.0,9.059,-0.597,-1.5,16.0,66.67
Streptococcus pneumoniae,ERY,Erythromycin,high,2018,46,89.13,16.0,16.0,6.1538,16.0,16.0,0.0,-2.003,2.149,16.0,84.78
Streptococcus pneumoniae,CLA,Clarithromycin,high,2015,48,47.92,1.0,16.0,0.5347,0.03,16.0,9.059,0.014,-1.848,16.0,52.08
Streptococcus pneumoniae,CLA,Clarithromycin,high,2016,641,52.11,0.03,16.0,0.371,0.03,16.0,9.059,0.237,-1.797,16.0,46.96
Streptococcus pneumoniae,CLA,Clarithromycin,high,2017,333,60.36,8.0,16.0,1.2662,0.03,16.0,9.059,-0.543,-1.539,16.0,66.37
Streptococcus pneumoniae,CLA,Clarithromycin,high,2018,46,80.43,16.0,16.0,5.3733,16.0,16.0,0.0,-1.827,1.482,16.0,84.78
Streptococcus pneumoniae,AZM,Azithromycin,high,2015,48,50.0,4.0,32.0,1.2717,0.06,32.0,9.059,-0.027,-1.839,32.0,52.08
Streptococcus pneumoniae,AZM,Azithromycin,high,2016,641,47.11,0.12,32.0,0.8486,0.06,32.0,9.059,0.216,-1.798,32.0,46.65
Streptococcus pneumoniae,AZM,Azithromycin,high,2017,333,57.96,32.0,32.0,2.7527,0.06,32.0,9.059,-0.544,-1.537,32.0,65.77
Streptococcus pneumoniae,AZM,Azithromycin,high,2018,46,89.13,32.0,32.0,12.1235,32.0,32.0,0.0,-1.976,1.972,32.0,84.78
Streptococcus pneumoniae,SXT,Trimethoprim/Sulfamethoxazole,moderate,2015,48,0.0,0.25,8.0,0.791,0.25,4.0,4.0,0.622,-0.725,0.25,47.92
Streptococcus pneumoniae,SXT,Trimethoprim/Sulfamethoxazole,moderate,2016,641,0.94,1.0,8.0,1.1959,0.25,4.0,4.0,-0.025,-1.268,0.25,59.28
Streptococcus pneumoniae,SXT,Trimethoprim/Sulfamethoxazole,moderate,2017,333,3.0,4.0,16.0,1.7105,0.25,8.0,5.0,-0.301,-1.243,8.0,66.67
Streptococcus pneumoniae,SXT,Trimethoprim/Sulfamethoxazole,moderate,2018,46,2.17,4.0,16.0,3.9402,4.0,8.0,1.0,-1.176,0.117,4.0,82.61
Streptococcus pneumoniae,LEV,Levofloxacin,high,2015,48,4.17,1.0,1.0,0.8894,1.0,1.0,0.0,-3.241,13.093,1.0,2.08
Streptococcus pneumoniae,LEV,Levofloxacin,high,2016,641,0.16,1.0,2.0,1.0418,1.0,1.0,0.0,1.258,18.446,1.0,1.56
Streptococcus pneumoniae,LEV,Levofloxacin,high,2017,333,0.0,1.0,2.0,1.1424,1.0,1.0,0.0,2.778,10.748,1.0,5.41
Streptococcus pneumoniae,LEV,Levofloxacin,high,2018,46,0.0,1.0,1.0,0.9274,1.0,1.0,0.0,0.79,4.808,1.0,2.17
Streptococcus pneumoniae,MXF,Moxifloxacin,high,2015,48,2.08,0.12,0.25,0.1403,0.12,0.25,1.059,0.027,0.938,0.12,0.0
Streptococcus pneumoniae,MXF,Moxifloxacin,high,2016,641,0.62,0.12,0.25,0.1367,0.12,0.12,0.0,2.265,13.959,0.12,0.94
Streptococcus pneumoniae,MXF,Moxifloxacin,high,2017,333,0.6,0.12,0.25,0.1429,0.12,0.12,0.0,3.217,14.05,0.12,3.3
Streptococcus pneumoniae,MXF,Moxifloxacin,high,2018,46,0.0,0.12,0.12,0.1186,0.12,0.12,0.0,0.052,2.141,0.12,0.0
Streptococcus pneumoniae,CDN,Cefdinir,moderate,2015,48,27.08,0.12,1.0,0.1298,0.015,0.5,5.059,-0.17,-1.49,0.015,14.58
Streptococcus pneumoniae,CDN,Cefdinir,moderate,2016,641,30.11,0.12,1.0,0.0959,0.015,0.5,5.059,0.2,-1.357,0.015,14.2
Streptococcus pneumoniae,CDN,Cefdinir,moderate,2017,333,18.92,0.25,1.0,0.1916,0.06,1.0,4.059,-0.198,-1.093,1.0,28.83
Streptococcus pneumoniae,CDN,Cefdinir,moderate,2018,46,4.35,0.5,2.0,0.5367,0.25,1.0,2.0,-1.207,2.359,1.0,50.0
Streptococcus pneumoniae,DIN,Cefdinir (alternate code - see note),low,2015,48,2.08,0.5,8.0,0.718,0.12,4.0,5.059,0.014,-1.386,0.12,47.92
Streptococcus pneumoniae,DIN,Cefdinir (alternate code - see note),low,2016,641,0.78,0.25,8.0,0.4838,0.06,4.0,6.059,0.329,-1.3,0.06,36.82
Streptococcus pneumoniae,DIN,Cefdinir (alternate code - see note),low,2017,333,3.9,1.0,16.0,1.0247,0.12,8.0,6.059,-0.166,-1.413,8.0,54.35
Streptococcus pneumoniae,DIN,Cefdinir (alternate code - see note),low,2018,46,2.17,8.0,16.0,3.9332,2.0,8.0,2.0,-1.246,0.87,8.0,89.13
Haemophilus influenzae,AMP,Ampicillin,high,2016,686,18.95,0.25,8.0,0.3514,0.12,0.5,2.059,1.535,1.677,0.12,17.06
Haemophilus influenzae,AMP,Ampicillin,high,2017,351,12.82,0.5,64.0,0.8669,0.12,4.0,5.059,0.871,-0.568,0.12,30.77
Haemophilus influenzae,AMP,Ampicillin,high,2018,27,29.63,64.0,128.0,28.1452,8.0,128.0,4.0,-0.76,-0.801,128.0,96.3
Haemophilus influenzae,AMC,Amoxicillin/Clavulanic acid,moderate,2016,686,7.87,0.5,2.0,0.4811,0.25,1.0,2.0,-0.211,0.279,0.5,0.15
Haemophilus influenzae,AMC,Amoxicillin/Clavulanic acid,moderate,2017,351,6.55,0.5,4.0,0.7081,0.5,1.0,1.0,-0.089,0.014,0.5,3.13
Haemophilus influenzae,AMC,Amoxicillin/Clavulanic acid,moderate,2018,27,0.0,2.0,4.0,1.5874,1.0,2.0,1.0,-0.861,0.41,2.0,0.0
Haemophilus influenzae,AXO,Ceftriaxone,high,2016,686,88.92,0.015,0.03,0.0179,0.015,0.015,0.0,4.277,20.124,0.015,0.0
Haemophilus influenzae,AXO,Ceftriaxone,high,2017,351,80.63,0.015,0.12,0.0215,0.015,0.015,0.0,2.584,6.2,0.015,0.0
Haemophilus influenzae,AXO,Ceftriaxone,high,2018,27,3.7,0.12,0.25,0.1465,0.12,0.25,1.059,-1.567,2.911,0.25,0.0
Haemophilus influenzae,CXM,Cefuroxime,moderate,2016,686,1.9,0.5,2.0,0.562,0.25,1.0,2.0,-0.393,1.732,0.5,0.73
Haemophilus influenzae,CXM,Cefuroxime,moderate,2017,351,1.71,1.0,4.0,0.9526,0.5,2.0,2.0,0.796,1.433,0.5,9.12
Haemophilus influenzae,CXM,Cefuroxime,moderate,2018,27,22.22,8.0,32.0,8.8652,3.0,32.0,3.415,-0.356,-1.268,32.0,66.67
Haemophilus influenzae,FIX,Cefixime,high,2016,686,28.28,0.03,0.12,0.0353,0.015,0.03,1.0,2.205,5.452,0.03,1.31
Haemophilus influenzae,FIX,Cefixime,high,2017,351,24.79,0.03,0.5,0.0504,0.03,0.06,1.0,1.612,1.895,0.03,3.7
Haemophilus influenzae,FIX,Cefixime,high,2018,27,0.0,1.0,4.0,1.1969,0.75,2.0,1.415,0.291,-0.098,1.0,40.74
Haemophilus influenzae,POD,Cefpodoxime,moderate,2016,686,14.29,0.06,0.25,0.0678,0.03,0.12,2.0,1.212,2.647,0.06,1.02
Haemophilus influenzae,POD,Cefpodoxime,moderate,2017,351,13.11,0.06,1.0,0.0985,0.03,0.12,2.0,1.38,2.005,0.06,5.41
Haemophilus influenzae,POD,Cefpodoxime,moderate,2018,27,40.74,2.0,8.0,0.6057,0.015,6.0,8.644,-0.468,-1.545,0.015,44.44
Haemophilus influenzae,AZM,Azithromycin,high,2016,686,1.02,0.5,1.0,0.5406,0.5,1.0,1.0,0.99,6.379,0.5,1.46
Haemophilus influenzae,AZM,Azithromycin,high,2017,351,1.42,0.5,1.0,0.5588,0.5,1.0,1.0,0.701,4.561,0.5,1.99
Haemophilus influenzae,AZM,Azithromycin,high,2018,27,18.52,1.0,32.0,1.6287,0.25,10.0,5.322,0.629,-1.182,0.25,25.93
Haemophilus influenzae,CLA,Clarithromycin,moderate,2016,686,2.33,4.0,8.0,3.5435,2.0,8.0,2.0,-2.179,8.333,4.0,3.35
Haemophilus influenzae,CLA,Clarithromycin,moderate,2017,351,4.84,4.0,8.0,3.5116,4.0,8.0,1.0,-2.21,6.592,4.0,4.84
Haemophilus influenzae,CLA,Clarithromycin,moderate,2018,27,33.33,4.0,32.0,2.6326,3.0,8.0,1.415,-1.201,0.102,8.0,14.81
Haemophilus influenzae,SXT,Trimethoprim/Sulfamethoxazole,moderate,2016,686,5.1,0.25,16.0,0.5278,0.06,8.0,7.059,0.236,-1.509,0.12,41.98
Haemophilus influenzae,SXT,Trimethoprim/Sulfamethoxazole,moderate,2017,351,5.98,0.5,16.0,0.7727,0.06,12.0,7.644,0.014,-1.672,16.0,49.0
Haemophilus influenzae,SXT,Trimethoprim/Sulfamethoxazole,moderate,2018,27,44.44,16.0,16.0,12.0454,16.0,16.0,0.0,-4.421,18.647,16.0,96.3
Haemophilus influenzae,LEV,Levofloxacin,high,2016,686,5.83,0.015,0.5,0.0366,0.015,0.03,1.0,2.064,3.362,0.015,6.41
Haemophilus influenzae,LEV,Levofloxacin,high,2017,351,6.55,0.015,1.0,0.0397,0.015,0.03,1.0,1.927,2.518,0.015,8.26
Haemophilus influenzae,LEV,Levofloxacin,high,2018,27,3.7,0.5,8.0,0.3522,0.015,8.0,9.059,-0.071,-1.634,0.015,29.63
Haemophilus influenzae,MXF,Moxifloxacin,low,2016,686,4.37,0.015,0.5,0.0362,0.015,0.03,1.0,2.043,3.374,0.015,6.41
Haemophilus influenzae,MXF,Moxifloxacin,low,2017,351,3.7,0.03,0.5,0.0414,0.015,0.03,1.0,1.891,2.5,0.015,8.55
Haemophilus influenzae,MXF,Moxifloxacin,low,2018,27,3.7,0.5,8.0,0.3346,0.0225,6.0,8.059,-0.001,-1.601,0.015,33.33
Haemophilus influenzae,CDN,Cefdinir,moderate,2016,686,87.76,0.03,0.06,0.0355,0.03,0.03,0.0,4.169,20.245,0.03,0.29
Haemophilus influenzae,CDN,Cefdinir,moderate,2017,351,81.77,0.03,0.12,0.0379,0.03,0.03,0.0,2.788,8.102,0.03,0.0
Haemophilus influenzae,CDN,Cefdinir,moderate,2018,27,7.41,0.12,0.25,0.1182,0.06,0.185,1.624,0.113,-0.244,0.12,0.0
Haemophilus influenzae,DIN,Cefdinir (alternate code - see note),low,2016,686,1.6,0.25,0.5,0.2607,0.25,0.5,1.0,0.282,1.831,0.25,1.9
Haemophilus influenzae,DIN,Cefdinir (alternate code - see note),low,2017,351,0.0,0.25,1.0,0.3605,0.25,0.5,1.0,1.27,2.652,0.25,7.41
Haemophilus influenzae,DIN,Cefdinir (alternate code - see note),low,2018,27,0.0,2.0,16.0,2.7924,1.0,8.0,3.0,0.102,-0.756,1.0,62.96
Escherichia coli,AMP,Ampicillin,high,2016,49,63.27,128.0,128.0,32.9183,4.0,128.0,5.0,-0.763,-1.255,128.0,65.31
Escherichia coli,AMP,Ampicillin,high,2017,57,50.88,128.0,128.0,28.3359,4.0,128.0,5.0,-0.378,-1.78,128.0,57.89
Escherichia coli,AMC,Amoxicillin/Clavulanic acid,moderate,2016,49,0.0,16.0,64.0,14.9074,4.0,32.0,3.0,-0.38,-0.864,32.0,65.31
Escherichia coli,AMC,Amoxicillin/Clavulanic acid,moderate,2017,57,1.75,16.0,32.0,11.6629,4.0,32.0,3.0,-0.009,-0.973,4.0,56.14
Escherichia coli,AXO,Ceftriaxone,high,2016,49,4.08,0.03,0.06,0.0428,0.03,0.06,1.0,3.245,11.799,0.03,4.08
Escherichia coli,AXO,Ceftriaxone,high,2017,57,7.02,0.03,0.12,0.0496,0.03,0.06,1.0,2.485,5.573,0.03,7.02
Escherichia coli,FIX,Cefixime,moderate,2016,49,2.04,0.5,1.0,0.4326,0.25,0.5,1.0,2.259,7.077,0.5,6.12
Escherichia coli,FIX,Cefixime,moderate,2017,57,7.02,0.25,1.0,0.4092,0.25,0.5,1.0,2.213,4.954,0.25,8.77
Escherichia coli,SXT,Trimethoprim/Sulfamethoxazole,high,2016,49,40.82,0.5,16.0,0.8768,0.06,16.0,8.059,0.021,-1.801,16.0,42.86
Escherichia coli,SXT,Trimethoprim/Sulfamethoxazole,high,2017,57,40.35,0.12,16.0,0.7053,0.06,16.0,8.059,0.236,-1.846,16.0,42.11
Escherichia coli,LEV,Levofloxacin,high,2016,49,22.45,0.25,4.0,0.2158,0.03,1.0,5.059,0.291,-1.552,0.03,22.45
Escherichia coli,LEV,Levofloxacin,high,2017,57,31.58,0.25,4.0,0.2606,0.03,4.0,7.059,0.197,-1.684,0.03,33.33
Klebsiella pneumoniae,AMC,Amoxicillin/Clavulanic acid,moderate,2017,67,4.48,4.0,64.0,9.5383,4.0,16.0,2.0,0.988,-0.413,4.0,31.34
Klebsiella pneumoniae,AXO,Ceftriaxone,high,2017,67,20.9,0.06,2.0,0.1071,0.03,0.185,2.624,0.998,-0.555,0.03,20.9
Klebsiella pneumoniae,FIX,Cefixime,moderate,2017,67,34.33,0.12,32.0,0.2234,0.06,0.25,2.059,1.375,0.279,0.06,17.91
Klebsiella pneumoniae,SXT,Trimethoprim/Sulfamethoxazole,high,2017,67,25.37,0.25,16.0,0.6297,0.12,12.0,6.644,0.715,-1.171,0.12,26.87
Klebsiella pneumoniae,LEV,Levofloxacin,high,2017,67,10.45,0.06,4.0,0.1645,0.06,0.5,3.059,0.881,-0.465,0.06,10.45
Klebsiella pneumoniae,PEN,Penicillin,n/a,2017,67,79.1,4.0,4.0,3.3898,4.0,4.0,0.0,-3.343,9.494,4.0,
