Organism,Antibiotic,Antibiotic (name),Breakpoint confidence,Country,N,% censored,MIC50,MIC90,GeoMean,P25,P75,IQR_log2,Skewness,Kurtosis,Modal_MIC,PctR
Streptococcus pneumoniae,AMC,Amoxicillin/Clavulanic acid,high,Turkey,179,10.06,1.0,8.0,0.4305,0.045,2.0,5.474,-0.232,-1.364,2.0,21.23
Streptococcus pneumoniae,AMC,Amoxicillin/Clavulanic acid,high,Ukraine,78,33.33,0.03,2.0,0.0548,0.015,0.12,3.0,1.35,0.404,0.03,0.0
Streptococcus pneumoniae,AMC,Amoxicillin/Clavulanic acid,high,Vietnam,161,0.62,2.0,8.0,2.1942,1.0,8.0,3.0,-1.226,2.17,2.0,40.37
Streptococcus pneumoniae,AXO,Ceftriaxone,high,Argentina,95,42.11,0.03,0.5,0.0471,0.015,0.12,3.0,1.109,0.244,0.015,1.05
Streptococcus pneumoniae,AXO,Ceftriaxone,high,Cambodia,48,22.92,0.12,1.0,0.1478,0.03,0.5,4.059,-0.159,-1.389,0.015,4.17
Streptococcus pneumoniae,AXO,Ceftriaxone,high,Chile,73,21.92,0.12,1.0,0.1109,0.03,0.25,3.059,0.135,-1.172,0.015,1.37
Streptococcus pneumoniae,AXO,Ceftriaxone,high,Kenya,44,9.09,0.25,1.0,0.2495,0.12,1.0,3.059,-0.514,-0.656,1.0,4.55
Streptococcus pneumoniae,AXO,Ceftriaxone,high,Kuwait,82,24.39,0.12,1.0,0.1526,0.03,0.5,4.059,-0.208,-1.285,0.015,4.88
Streptococcus pneumoniae,AXO,Ceftriaxone,high,Lebanon,21,57.14,0.015,0.25,0.0409,0.015,0.25,4.059,0.642,-1.522,0.015,0.0
Streptococcus pneumoniae,AXO,Ceftriaxone,high,Morocco,19,73.68,0.015,1.0,0.0291,0.015,0.0225,0.585,1.92,1.996,0.015,0.0
Streptococcus pneumoniae,AXO,Ceftriaxone,high,Pakistan,94,14.89,0.12,0.25,0.1135,0.06,0.25,2.059,-0.704,-0.413,0.25,0.0
Streptococcus pneumoniae,AXO,Ceftriaxone,high,Philippines,17,70.59,0.015,0.03,0.0192,0.015,0.03,1.0,1.452,1.052,0.015,0.0
Streptococcus pneumoniae,AXO,Ceftriaxone,high,Saudi Arabia,36,33.33,0.12,1.0,0.1086,0.015,0.5,5.059,0.256,-1.4,0.015,5.56
Streptococcus pneumoniae,AXO,Ceftriaxone,high,Singapore,34,23.53,0.25,4.0,0.2266,0.0375,1.0,4.737,-0.141,-1.293,0.015,17.65
Streptococcus pneumoniae,AXO,Ceftriaxone,high,Tunisia,79,10.13,1.0,1.0,0.4116,0.185,1.0,2.434,-1.229,0.315,1.0,8.86
Streptococcus pneumoniae,AXO,Ceftriaxone,high,Turkey,179,11.17,0.5,2.0,0.2553,0.06,1.0,4.059,-0.289,-1.323,1.0,16.76
Streptococcus pneumoniae,AXO,Ceftriaxone,high,Ukraine,78,26.92,0.03,0.5,0.0544,0.015,0.12,3.0,1.099,-0.01,0.03,1.28
Streptococcus pneumoniae,AXO,Ceftriaxone,high,Vietnam,161,0.0,1.0,4.0,1.0194,0.5,2.0,2.0,-0.681,1.459,1.0,37.89
Streptococcus pneumoniae,POD,Cefpodoxime,high,Argentina,95,17.89,0.03,1.0,0.0711,0.03,0.12,2.0,1.305,0.845,0.03,11.58
Streptococcus pneumoniae,POD,Cefpodoxime,high,Cambodia,48,8.33,0.25,4.0,0.296,0.06,2.0,5.059,0.094,-1.378,0.06,37.5
Streptococcus pneumoniae,POD,Cefpodoxime,high,Chile,73,9.59,0.25,4.0,0.2125,0.06,2.0,5.059,0.293,-1.174,0.25,27.4
Streptococcus pneumoniae,POD,Cefpodoxime,high,Kenya,44,0.0,0.5,4.0,0.5714,0.25,2.0,3.0,-0.377,-0.936,2.0,47.73
Streptococcus pneumoniae,POD,Cefpodoxime,high,Kuwait,82,6.1,0.25,4.0,0.3171,0.0375,2.0,5.737,0.022,-1.328,0.03,36.59
Streptococcus pneumoniae,POD,Cefpodoxime,high,Lebanon,21,9.52,0.03,0.5,0.0741,0.03,0.25,3.059,0.549,-1.347,0.03,0.0
Streptococcus pneumoniae,POD,Cefpodoxime,high,Morocco,19,15.79,0.03,2.0,0.045,0.03,0.03,0.0,2.381,4.196,0.03,10.53
Streptococcus pneumoniae,POD,Cefpodoxime,high,Pakistan,94,2.13,0.25,0.5,0.212,0.25,0.5,1.0,-0.438,0.662,0.25,3.19
Streptococcus pneumoniae,POD,Cefpodoxime,high,Philippines,17,17.65,0.03,0.03,0.0277,0.03,0.03,0.0,-0.363,1.056,0.03,0.0
Streptococcus pneumoniae,POD,Cefpodoxime,high,Saudi Arabia,36,11.11,0.25,4.0,0.236,0.03,2.0,6.059,0.284,-1.245,0.03,33.33
Streptococcus pneumoniae,POD,Cefpodoxime,high,Singapore,34,17.65,0.5,16.0,0.4732,0.06,4.0,6.059,-0.085,-1.243,4.0,44.12
Streptococcus pneumoniae,POD,Cefpodoxime,high,Tunisia,79,3.8,2.0,4.0,1.0557,0.375,4.0,3.415,-1.177,0.228,2.0,73.42
Streptococcus pneumoniae,POD,Cefpodoxime,high,Turkey,179,2.79,2.0,16.0,0.9662,0.12,4.0,5.059,-0.221,-1.326,4.0,55.87
Streptococcus pneumoniae,POD,Cefpodoxime,high,Ukraine,78,6.41,0.03,2.0,0.0811,0.03,0.12,2.0,1.289,0.275,0.03,16.67
Streptococcus pneumoniae,POD,Cefpodoxime,high,Vietnam,161,16.77,8.0,16.0,6.9054,4.0,16.0,2.0,-2.239,6.99,16.0,94.41
Streptococcus pneumoniae,CXM,Cefuroxime,moderate,Argentina,95,12.63,0.25,4.0,0.2336,0.03,0.5,4.059,0.52,-0.396,0.25,23.16
Streptococcus pneumoniae,CXM,Cefuroxime,moderate,Cambodia,48,8.33,0.5,16.0,0.856,0.12,5.0,5.381,-0.071,-1.247,0.12,45.83
Streptococcus pneumoniae,CXM,Cefuroxime,moderate,Chile,73,5.48,0.25,8.0,0.346,0.06,2.0,5.059,0.341,-0.977,0.03,28.77
Streptococcus pneumoniae,CXM,Cefuroxime,moderate,Kenya,44,4.55,1.0,8.0,0.8347,0.25,4.0,4.0,-0.493,-0.646,4.0,54.55
Streptococcus pneumoniae,CXM,Cefuroxime,moderate,Kuwait,82,13.41,0.5,8.0,0.5326,0.075,4.0,5.737,-0.111,-1.336,4.0,43.9
Streptococcus pneumoniae,CXM,Cefuroxime,moderate,Lebanon,21,4.76,0.25,2.0,0.2728,0.12,2.0,4.059,0.024,-0.986,0.25,28.57
Streptococcus pneumoniae,CXM,Cefuroxime,moderate,Morocco,19,21.05,0.03,8.0,0.065,0.03,0.09,1.585,1.968,2.739,0.03,10.53
Streptococcus pneumoniae,CXM,Cefuroxime,moderate,Pakistan,94,6.38,0.25,0.5,0.2067,0.12,0.5,2.059,-0.681,0.556,0.5,2.13
Streptococcus pneumoniae,CXM,Cefuroxime,moderate,Philippines,17,5.88,0.03,0.25,0.037,0.03,0.03,0.0,2.095,3.109,0.03,0.0
Streptococcus pneumoniae,CXM,Cefuroxime,moderate,Saudi Arabia,36,13.89,0.5,16.0,0.648,0.2175,4.0,4.201,-0.159,-0.988,0.25,47.22
Streptococcus pneumoniae,CXM,Cefuroxime,moderate,Singapore,34,26.47,0.5,16.0,0.6716,0.08499999999999999,8.0,6.556,-0.243,-1.379,8.0,47.06
Streptococcus pneumoniae,CXM,Cefuroxime,moderate,Tunisia,79,12.66,8.0,16.0,2.8526,2.0,8.0,2.0,-1.433,0.994,8.0,79.75
Streptococcus pneumoniae,CXM,Cefuroxime,moderate,Turkey,179,5.03,2.0,16.0,0.9127,0.25,8.0,5.0,-0.403,-1.314,8.0,53.07
Streptococcus pneumoniae,CXM,Cefuroxime,moderate,Ukraine,78,7.69,0.06,4.0,0.1194,0.03,0.25,3.059,1.012,-0.26,0.03,17.95
Streptococcus pneumoniae,CXM,Cefuroxime,moderate,Vietnam,161,8.7,4.0,16.0,4.0469,2.0,8.0,2.0,-1.511,3.151,4.0,91.3
Streptococcus pneumoniae,ERY,Erythromycin,high,Argentina,95,25.26,0.03,16.0,0.093,0.03,0.06,1.0,1.497,0.542,0.03,20.0
Streptococcus pneumoniae,ERY,Erythromycin,high,Cambodia,48,54.17,0.06,16.0,0.5342,0.03,16.0,9.059,0.071,-1.85,16.0,50.0
Streptococcus pneumoniae,ERY,Erythromycin,high,Chile,73,57.53,8.0,16.0,1.4012,0.03,16.0,9.059,-0.598,-1.534,16.0,65.75
Streptococcus pneumoniae,ERY,Erythromycin,high,Kenya,44,45.45,0.06,16.0,0.2763,0.03,16.0,9.059,0.563,-1.541,0.03,36.36
Streptococcus pneumoniae,ERY,Erythromycin,high,Kuwait,82,45.12,2.0,16.0,0.9272,0.03,16.0,9.059,-0.267,-1.728,16.0,59.76
Streptococcus pneumoniae,ERY,Erythromycin,high,Lebanon,21,0.0,0.03,0.06,0.0366,0.03,0.06,1.0,0.949,-1.1,0.03,0.0
Streptococcus pneumoniae,ERY,Erythromycin,high,Morocco,19,31.58,0.03,16.0,0.084,0.03,0.06,1.0,1.475,0.576,0.03,21.05
Streptococcus pneumoniae,ERY,Erythromycin,high,Pakistan,94,28.72,4.0,16.0,1.1864,0.06,8.0,7.059,-0.613,-1.393,8.0,67.02
Streptococcus pneumoniae,ERY,Erythromycin,high,Philippines,17,35.29,0.03,0.03,0.0245,0.015,0.03,1.0,0.099,-0.571,0.03,0.0
Streptococcus pneumoniae,ERY,Erythromycin,high,Saudi Arabia,36,36.11,0.06,16.0,0.519,0.03,16.0,9.059,0.131,-1.806,16.0,47.22
Streptococcus pneumoniae,ERY,Erythromycin,high,Singapore,34,52.94,4.0,16.0,1.4855,0.06,16.0,8.059,-0.712,-1.204,16.0,70.59
Streptococcus pneumoniae,ERY,Erythromycin,high,Tunisia,79,70.89,16.0,16.0,4.1088,12.0,16.0,0.415,-1.463,0.194,16.0,79.75
Streptococcus pneumoniae,ERY,Erythromycin,high,Turkey,179,46.93,0.06,16.0,0.5804,0.03,16.0,9.059,0.104,-1.918,16.0,48.04
Streptococcus pneumoniae,ERY,Erythromycin,high,Ukraine,78,24.36,0.03,16.0,0.1169,0.03,0.06,1.0,1.294,-0.092,0.03,23.08
Streptococcus pneumoniae,ERY,Erythromycin,high,Vietnam,161,82.61,16.0,16.0,10.759,16.0,16.0,0.0,-3.579,14.0,16.0,98.14
Streptococcus pneumoniae,CLA,Clarithromycin,high,Argentina,95,44.21,0.03,16.0,0.0705,0.015,0.045,1.585,1.593,0.934,0.03,20.0
Streptococcus pneumoniae,CLA,Clarithromycin,high,Cambodia,48,54.17,0.06,16.0,0.4364,0.03,16.0,9.059,0.155,-1.822,16.0,50.0
Streptococcus pneumoniae,CLA,Clarithromycin,high,Chile,73,67.12,4.0,16.0,1.1263,0.03,16.0,9.059,-0.51,-1.576,16.0,65.75
Streptococcus pneumoniae,CLA,Clarithromycin,high,Kenya,44,54.55,0.03,16.0,0.2182,0.02625,16.0,9.252,0.631,-1.5,0.03,36.36
Streptococcus pneumoniae,CLA,Clarithromycin,high,Kuwait,82,48.78,1.0,16.0,0.6782,0.03,16.0,9.059,-0.139,-1.747,16.0,58.54
Streptococcus pneumoniae,CLA,Clarithromycin,high,Lebanon,21,23.81,0.03,0.03,0.0254,0.03,0.03,0.0,-1.23,-0.487,0.03,0.0
Streptococcus pneumoniae,CLA,Clarithromycin,high,Morocco,19,57.89,0.03,16.0,0.0522,0.015,0.03,1.0,1.908,1.945,0.015,15.79
Streptococcus pneumoniae,CLA,Clarithromycin,high,Pakistan,94,36.17,2.0,16.0,0.7967,0.03,4.0,7.059,-0.459,-1.436,4.0,67.02
Streptococcus pneumoniae,CLA,Clarithromycin,high,Philippines,17,58.82,0.015,0.03,0.02,0.015,0.03,1.0,0.359,-1.871,0.015,0.0
Streptococcus pneumoniae,CLA,Clarithromycin,high,Saudi Arabia,36,33.33,0.03,16.0,0.3666,0.03,16.0,9.059,0.259,-1.747,0.03,47.22
Streptococcus pneumoniae,CLA,Clarithromycin,high,Singapore,34,61.76,2.0,16.0,1.0941,0.03,16.0,9.059,-0.533,-1.372,16.0,70.59
Streptococcus pneumoniae,CLA,Clarithromycin,high,Tunisia,79,78.48,16.0,16.0,3.5394,8.0,16.0,1.0,-1.398,0.07,16.0,79.75
Streptococcus pneumoniae,CLA,Clarithromycin,high,Turkey,179,57.54,0.03,16.0,0.4971,0.03,16.0,9.059,0.11,-1.92,16.0,48.04
Streptococcus pneumoniae,CLA,Clarithromycin,high,Ukraine,78,29.49,0.03,16.0,0.0936,0.03,0.03,0.0,1.429,0.295,0.03,23.08
Streptococcus pneumoniae,CLA,Clarithromycin,high,Vietnam,161,79.5,16.0,16.0,9.8265,16.0,16.0,0.0,-3.383,12.839,16.0,97.52
Streptococcus pneumoniae,AZM,Azithromycin,high,Argentina,95,27.37,0.06,32.0,0.1834,0.06,0.12,1.0,1.533,0.667,0.06,20.0
Streptococcus pneumoniae,AZM,Azithromycin,high,Cambodia,48,56.25,0.12,32.0,0.9798,0.06,32.0,9.059,0.149,-1.804,32.0,50.0
Streptococcus pneumoniae,AZM,Azithromycin,high,Chile,73,61.64,8.0,32.0,2.3398,0.06,32.0,9.059,-0.492,-1.581,32.0,65.75
Streptococcus pneumoniae,AZM,Azithromycin,high,Kenya,44,54.55,0.06,32.0,0.5112,0.0525,32.0,9.252,0.53,-1.57,32.0,38.64
Streptococcus pneumoniae,AZM,Azithromycin,high,Kuwait,82,43.9,4.0,32.0,1.5267,0.06,32.0,9.059,-0.166,-1.747,32.0,57.32
Streptococcus pneumoniae,AZM,Azithromycin,high,Lebanon,21,23.81,0.06,0.12,0.0581,0.06,0.06,0.0,0.048,-0.66,0.06,0.0
Streptococcus pneumoniae,AZM,Azithromycin,high,Morocco,19,31.58,0.06,32.0,0.1401,0.06,0.09,0.585,1.802,1.857,0.06,15.79
Streptococcus pneumoniae,AZM,Azithromycin,high,Pakistan,94,30.85,8.0,32.0,1.8466,0.075,8.0,6.737,-0.508,-1.384,8.0,67.02
Streptococcus pneumoniae,AZM,Azithromycin,high,Philippines,17,47.06,0.06,0.06,0.0471,0.03,0.06,1.0,1.541,2.793,0.03,0.0
Streptococcus pneumoniae,AZM,Azithromycin,high,Saudi Arabia,36,38.89,0.12,32.0,0.9072,0.06,32.0,9.059,0.17,-1.765,32.0,47.22
Streptococcus pneumoniae,AZM,Azithromycin,high,Singapore,34,58.82,8.0,32.0,2.5758,0.075,32.0,8.737,-0.592,-1.331,32.0,70.59
Streptococcus pneumoniae,AZM,Azithromycin,high,Tunisia,79,77.22,32.0,32.0,7.5272,16.0,32.0,1.0,-1.426,0.131,32.0,79.75
Streptococcus pneumoniae,AZM,Azithromycin,high,Turkey,179,55.31,0.12,32.0,1.0869,0.06,32.0,9.059,0.107,-1.903,32.0,48.04
Streptococcus pneumoniae,AZM,Azithromycin,high,Ukraine,78,20.51,0.06,32.0,0.2216,0.06,0.12,1.0,1.427,0.323,0.06,21.79
Streptococcus pneumoniae,AZM,Azithromycin,high,Vietnam,161,86.34,32.0,32.0,20.3416,32.0,32.0,0.0,-3.323,10.871,32.0,95.65
Streptococcus pneumoniae,SXT,Trimethoprim/Sulfamethoxazole,moderate,Argentina,95,1.05,0.25,4.0,0.4909,0.25,1.0,2.0,0.817,-0.09,0.25,34.74
Streptococcus pneumoniae,SXT,Trimethoprim/Sulfamethoxazole,moderate,Cambodia,48,0.0,2.0,8.0,1.4094,0.4375,4.0,3.193,-0.444,-0.873,4.0,70.83
Streptococcus pneumoniae,SXT,Trimethoprim/Sulfamethoxazole,moderate,Chile,73,0.0,1.0,8.0,1.0651,0.25,4.0,4.0,0.344,-1.174,0.25,56.16
Streptococcus pneumoniae,SXT,Trimethoprim/Sulfamethoxazole,moderate,Kenya,44,2.27,8.0,16.0,6.3163,4.0,16.0,2.0,-1.673,3.099,4.0,93.18
Streptococcus pneumoniae,SXT,Trimethoprim/Sulfamethoxazole,moderate,Kuwait,82,0.0,0.5,8.0,0.8986,0.25,4.0,4.0,0.269,-1.225,0.25,50.0
Streptococcus pneumoniae,SXT,Trimethoprim/Sulfamethoxazole,moderate,Lebanon,21,0.0,0.25,0.25,0.189,0.12,0.25,1.059,-0.49,-1.76,0.25,0.0
Streptococcus pneumoniae,SXT,Trimethoprim/Sulfamethoxazole,moderate,Morocco,19,0.0,0.25,8.0,0.5748,0.25,1.0,2.0,1.059,-0.027,0.25,31.58
Streptococcus pneumoniae,SXT,Trimethoprim/Sulfamethoxazole,moderate,Pakistan,94,2.13,4.0,8.0,2.8211,2.0,7.0,1.807,-2.095,3.978,4.0,89.36
Streptococcus pneumoniae,SXT,Trimethoprim/Sulfamethoxazole,moderate,Philippines,17,0.0,0.25,1.0,0.2693,0.25,0.25,0.0,0.103,0.375,0.25,11.76
Streptococcus pneumoniae,SXT,Trimethoprim/Sulfamethoxazole,moderate,Saudi Arabia,36,2.78,0.25,4.0,0.5773,0.2175,4.0,4.201,0.306,-1.074,0.25,44.44
Streptococcus pneumoniae,SXT,Trimethoprim/Sulfamethoxazole,moderate,Singapore,34,2.94,2.0,16.0,1.4295,0.25,8.0,5.0,-0.205,-1.481,8.0,61.76
Streptococcus pneumoniae,SXT,Trimethoprim/Sulfamethoxazole,moderate,Tunisia,79,0.0,0.25,8.0,0.6226,0.25,3.0,3.585,0.557,-1.1,0.25,39.24
Streptococcus pneumoniae,SXT,Trimethoprim/Sulfamethoxazole,moderate,Turkey,179,0.56,2.0,16.0,1.7283,0.25,8.0,5.0,-0.151,-1.367,0.25,68.72
Streptococcus pneumoniae,SXT,Trimethoprim/Sulfamethoxazole,moderate,Ukraine,78,0.0,1.0,8.0,1.1735,0.25,4.0,4.0,0.363,-1.197,0.25,58.97
Streptococcus pneumoniae,SXT,Trimethoprim/Sulfamethoxazole,moderate,Vietnam,161,5.59,4.0,16.0,4.0829,4.0,8.0,1.0,-1.158,0.659,8.0,86.96
Streptococcus pneumoniae,LEV,Levofloxacin,high,Argentina,95,2.11,1.0,1.0,0.8568,1.0,1.0,0.0,-2.657,13.324,1.0,2.11
Streptococcus pneumoniae,LEV,Levofloxacin,high,Cambodia,48,0.0,1.0,1.0,0.817,0.5,1.0,1.0,-0.401,-0.704,1.0,0.0
Streptococcus pneumoniae,LEV,Levofloxacin,high,Chile,73,0.0,1.0,2.0,1.0687,1.0,1.0,0.0,0.834,2.876,1.0,1.37
Streptococcus pneumoniae,LEV,Levofloxacin,high,Kenya,44,0.0,1.0,1.0,0.9389,1.0,1.0,0.0,-2.846,6.1,1.0,0.0
Streptococcus pneumoniae,LEV,Levofloxacin,high,Kuwait,82,0.0,1.0,2.0,1.0974,1.0,1.0,0.0,0.459,1.117,1.0,1.22
Streptococcus pneumoniae,LEV,Levofloxacin,high,Lebanon,21,0.0,1.0,1.0,0.8763,1.0,1.0,0.0,-1.576,0.485,1.0,0.0
Streptococcus pneumoniae,LEV,Levofloxacin,high,Morocco,19,0.0,1.0,4.0,1.2909,1.0,1.0,0.0,2.337,5.434,1.0,10.53
Streptococcus pneumoniae,LEV,Levofloxacin,high,Pakistan,94,0.0,2.0,2.0,1.6511,1.0,2.0,1.0,2.013,6.265,2.0,6.38
Streptococcus pneumoniae,LEV,Levofloxacin,high,Philippines,17,0.0,1.0,1.0,1.0416,1.0,1.0,0.0,3.75,12.062,1.0,0.0
Streptococcus pneumoniae,LEV,Levofloxacin,high,Saudi Arabia,36,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.0,1.0,0.0
Streptococcus pneumoniae,LEV,Levofloxacin,high,Singapore,34,0.0,1.0,1.0,0.9031,1.0,1.0,0.0,-1.993,1.972,1.0,0.0
Streptococcus pneumoniae,LEV,Levofloxacin,high,Tunisia,79,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.643,1.0,0.0
Streptococcus pneumoniae,LEV,Levofloxacin,high,Turkey,179,0.56,1.0,1.0,1.0037,1.0,1.0,0.0,2.485,35.665,1.0,1.12
Streptococcus pneumoniae,LEV,Levofloxacin,high,Ukraine,78,0.0,1.0,1.0,0.8984,1.0,1.0,0.0,-3.194,14.807,1.0,0.0
Streptococcus pneumoniae,LEV,Levofloxacin,high,Vietnam,161,0.0,1.0,2.0,1.2726,1.0,1.0,0.0,2.337,5.259,1.0,9.94
Streptococcus pneumoniae,MXF,Moxifloxacin,high,Argentina,95,1.05,0.12,0.25,0.1243,0.12,0.12,0.0,0.945,4.699,0.12,0.0
Streptococcus pneumoniae,MXF,Moxifloxacin,high,Cambodia,48,4.17,0.12,0.12,0.1009,0.12,0.12,0.0,-1.995,3.089,0.12,0.0
